0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
l8ugp31t,Croft,Michael,55064,8,40,Won 2-0,ptchi00,1514.54,1536.18,w9w885i8,"Ozfresko, Vedat",1716.38,8.0,2000-12-01,True,Pro Tour Chicago 2000,http://web.archive.org/web/20130707135528/http://www.wizards.com/sideboard/event.asp?event=ptchi00,pt,INV standard
l8ugp31t,Croft,Michael,55091,9,20,Lost 0-2,ptchi00,1536.18,1522.23,qjjctmyl,"Jensen, Niels Sanders",1762.37,8.0,2000-12-01,True,Pro Tour Chicago 2000,http://web.archive.org/web/20130707135528/http://www.wizards.com/sideboard/event.asp?event=ptchi00,pt,INV standard
l8ugp31t,Croft,Michael,55148,10,30,Lost 1-2,ptchi00,1522.23,1508.23,6k117dqv,"Crosby, Joseph",1745.08,8.0,2000-12-01,True,Pro Tour Chicago 2000,http://web.archive.org/web/20130707135528/http://www.wizards.com/sideboard/event.asp?event=ptchi00,pt,INV standard
l8ugp31t,Croft,Michael,55208,11,43,Won 2-0,ptchi00,1508.23,1533.43,mc6i54cy,"Kastle, Darwin",1925.96,8.0,2000-12-01,True,Pro Tour Chicago 2000,http://web.archive.org/web/20130707135528/http://www.wizards.com/sideboard/event.asp?event=ptchi00,pt,INV standard
l8ugp31t,Croft,Michael,55244,12,32,Draw 1-1,ptchi00,1533.43,1535.52,yiab406r,"Douglass, Morgan",1648.61,8.0,2000-12-01,True,Pro Tour Chicago 2000,http://web.archive.org/web/20130707135528/http://www.wizards.com/sideboard/event.asp?event=ptchi00,pt,INV standard
l8ugp31t,Croft,Michael,55289,13,31,Won 2-1,ptchi00,1535.52,1557.6,ghywft91,"Van Cleave, Trey",1763.35,8.0,2000-12-01,True,Pro Tour Chicago 2000,http://web.archive.org/web/20130707135528/http://www.wizards.com/sideboard/event.asp?event=ptchi00,pt,INV standard
l8ugp31t,Croft,Michael,55329,14,25,Won 2-0,ptchi00,1557.6,1578.59,j60g0t0y,"Rumsey, Michael",1722.64,8.0,2000-12-01,True,Pro Tour Chicago 2000,http://web.archive.org/web/20130707135528/http://www.wizards.com/sideboard/event.asp?event=ptchi00,pt,INV standard
l8ugp31t,Croft,Michael,74909,1,206,Lost 1-2,gpdet01,1578.59,1559.16,emakqbsc,"Glowacki, Steven",1500.0,9.0,2001-03-31,False,Grand Prix Detroit 2001,web.archive.org/web/20131223090543/http://www.wizards.com/sideboard/event.asp?event=GPDET01,gp,PLS limited
l8ugp31t,Croft,Michael,75128,2,211,Won 2-0,gpdet01,1559.16,1575.18,rh3yuddg,"Johnson, Joshua",1450.5,9.0,2001-03-31,False,Grand Prix Detroit 2001,web.archive.org/web/20131223090543/http://www.wizards.com/sideboard/event.asp?event=GPDET01,gp,PLS limited
l8ugp31t,Croft,Michael,75310,3,130,Won 2-1,gpdet01,1575.18,1591.2,xgsnr25j,"Schamun, Donald",1466.02,9.0,2001-03-31,False,Grand Prix Detroit 2001,web.archive.org/web/20131223090543/http://www.wizards.com/sideboard/event.asp?event=GPDET01,gp,PLS limited
