Id,name,money,nationality,teams
alexander-laing,Alexander Laing,0,empty,empty
marco-orellana,Marco Orellana,0,empty,empty
toru-horie,Toru Horie,0,empty,empty
edgar-emmanuel-rangel-paez,Edgar Emmanuel Rangel Páez,0,Mexico,empty
denny-weinhardt,Denny Weinhardt,0,Germany,empty
sean-goddard,Sean Goddard,0,England,empty
yohei-hoshino,Yohei Hoshino,0,Japan,empty
guilherme-krulikowski,Guilherme Krulikowski,0,empty,empty
robin-steinborn,Robin Steinborn,0,Germany,empty
hisamichi-yoshigoe,Hisamichi Yoshigoe,0,Japan,empty
colin-jenkins,Colin Jenkins,0,empty,empty
matthew-hyndman,Matthew Hyndman,0,empty,empty
miro-nurmela,Miro Nurmela,0,Finland,empty
anssi-myllymaki,Anssi Myllymäki,0,Finland,empty
andrey-kovalevskiy,Andrey Kovalevskiy,0,Finland,empty
eric-yuan,Eric Yuan,0,empty,empty
jessy-hefner,Jessy Hefner,0,empty,empty
diogenes-candido,Diógenes Cândido,0,empty,empty
jacob-roberts,Jacob Roberts,0,empty,empty
mikko-airaksinen,Mikko Airaksinen,0,Finland,empty
kazuhiko-hasegawa,Kazuhiko Hasegawa,0,Japan,empty
leo-finnveden,Leo Finnveden,0,Sweden,empty
asdren-alexander-b-,Asdren Alexander B.,0,Austria,empty
luke-deratzou,Luke Deratzou,0,United States of America,empty
ioannis-tsetis,Ioannis Tsetis,0,Greece,empty
daniel-sondike,Daniel Sondike,0,United States of America,empty
maximilian-krebs,Maximilian Krebs,0,Germany,empty
toni-portolan,Toni Portolan,0,Croatia,empty
henry-steinfeldt,Henry Steinfeldt,0,empty,empty
matthieu-avignon,Matthieu Avignon,0,France,empty
drew-keeney,Drew Keeney,0,empty,empty
simon-greir,Simon Greir,0,Denmark,empty
eduardo-rodriguez,Eduardo Rodriguez,0,Venezuela (Bolivarian Republic of),empty
moriyama-yu,Moriyama Yu,0,empty,empty
matthew-wright,Matthew Wright,0,empty,empty
yuta-yokokawa,Yuta Yokokawa,0,empty,empty
ian-barber,Ian Barber,0,United States of America,empty
matthew-saypoff,Matthew Saypoff,0,United States of America,empty
david-olsen,David Olsen,0,Canada,empty
kengo-nagao,Kengo Nagao,0,Japan,empty
tobia-nappi,Tobia Nappi,0,Italy,empty
aliaksandr-karalenia,Aliaksandr Karalenia,0,empty,empty
jordi-llatser,Jordi Llatser,0,empty,empty
niels-andreas-hvitved,Niels Andreas Hvitved,0,empty,empty
corey-baumeister,Corey Baumeister,0,United States of America,"[{'season': 2016, 'team': 'MTG Bent Card'}, {'season': 2017, 'team': 'Genesis'}, {'season': 2018, 'team': 'KMC-Genesis'}]"
patrick-cheske,Patrick Cheske,0,empty,empty
matthew-mccullough,Matthew McCullough,0,United States of America,empty
jared-brock,Jared Brock,0,empty,empty
joshua-willis,Joshua Willis,0,United States of America,empty
oleksandr-botte,Oleksandr Botte,0,empty,empty
jakub-pardubsky,Jakub Pardubsky,0,empty,empty
elsher-abraham,Elsher Abraham,0,empty,empty
timothy-miller,Timothy Miller,0,empty,empty
yimin-zhi,Yimin Zhi,0,China,"[{'season': 2018, 'team': 'Myst'}]"
soren-xu,Soren Xu,0,empty,empty
daniel-multer,Daniel Multer,0,empty,empty
yuji-shomatsumoto,Yuji Shomatsumoto,0,Japan,empty
frank-skarren,Frank Skarren,0,United States of America,empty
yuuta-hirosawa,Yuuta Hirosawa,0,Japan,"[{'season': 2017, 'team': 'Final Last Samurai'}]"
tim-durham,Tim Durham,0,empty,empty
noor-singh,Noor Singh,0,empty,empty
evan-sheres,Evan Sheres,0,empty,empty
jani-lindroos,Jani Lindroos,0,Finland,empty
kristoffer-lindqvist,Kristoffer Lindqvist,0,empty,empty
percy-fang,Percy Fang,0,United States of America,empty
steven-li,Steven Li,0,empty,empty
peter-duris,Peter Duris,0,empty,empty
maxim-barkman,Maxim Barkman,0,Germany,empty
eliott-boussaud,Eliott Boussaud,0,France,"[{'season': 2016, 'team': 'Magic Corsairs Crew'}, {'season': 2017, 'team': 'Magic Corsairs Crew'}, {'season': 2018, 'team': 'Waaagh Taverne Paris'}]"
tetsu-kawaguchi,Tetsu Kawaguchi,0,Japan,empty
kazuki-yada,Kazuki Yada,0,Japan,empty
paul-cheon,Paul Cheon,0,United States of America,empty
scott-miller,Scott Miller,0,empty,empty
yuxiang-su,Yuxiang Su,0,empty,empty
przemyslaw-olszewski,Przemyslaw Olszewski,0,empty,empty
mai-hou-mak,Mai Hou Mak,0,empty,empty
keyan-jafai,Keyan Jafai,0,empty,empty
asdren-alexander-berberi,Asdren Alexander Berberi,0,empty,empty
alastair-pickett,Alastair Pickett,0,Canada,empty
masaru-ikeda,Masaru Ikeda,0,empty,empty
ekvard-joakit,Ekvard Joakit,0,Estonia,empty
julian-weiswasser,Julian Weiswasser,0,empty,empty
kenji-egashira,Kenji Egashira,0,United States of America,empty
shintaro-ishimura,Shintaro Ishimura,0,Japan,empty
eli-behar,Eli Behar,0,empty,empty
edward-beshers,Edward Beshers,0,empty,empty
adrian-alvarez-vega,Adrián Álvarez Vega,0,empty,empty
hongbin-sun,Hongbin Sun,0,empty,empty
joshua-wolman,Joshua Wolman,0,Canada,empty
jared-chuang,Jared Chuang,0,empty,empty
cheng-zuo,Cheng Zuo,0,China,empty
jiajun-xu,Jiajun Xu,0,China,empty
takanori-kamiyanagi,Takanori Kamiyanagi,0,empty,empty
takayuki-tachikawa,Takayuki Tachikawa,0,empty,empty
curtis-liang,Curtis Liang,0,empty,empty
jacob-aleksiuk,Jacob Aleksiuk,0,empty,empty
bob-petts,Bob Petts,0,empty,empty
timothy-king,Timothy King,0,United States of America,empty
austin-matthews,Austin Matthews,0,empty,empty
petr-brozek,Petr Brožek,0,Czech Republic,empty
liam-kane-meilleur,Liam Kane Meilleur,0,Canada,empty
joao-moreira,João Moreira,0,Portugal,empty
tomi-senveter,Tomi Senveter,0,empty,empty
jan-philipp-budde,Jan-Philipp Budde,0,Germany,empty
simon-gortzen,Simon Görtzen,0,Germany,empty
matias-leveratto,Matias Leveratto,0,Argentina,empty
marcin-tokajuk,Marcin Tokajuk,0,Poland,empty
yuki-matsuda,Yuki Matsuda,0,Japan,empty
montserrat-ayensa,Montserrat Ayensa,0,Malta,empty
cj-steele,CJ Steele,0,United States of America,empty
alexey-shashov,Alexey Shashov,0,Russian Federation,empty
takashi-iwasaki,Takashi Iwasaki,0,Japan,empty
kentaro-yamamoto,Kentaro Yamamoto,0,Japan,"[{'season': 2016, 'team': 'Musashi'}, {'season': 2017, 'team': 'Musashi'}, {'season': 2018, 'team': 'Musashi'}]"
