Source,Target,relation,money,team
patrick-wu,regional-championship-washington-d-c-2024,TopFinish,4000,
vinicius-karam,regional-championship-sao-paulo-3-2024,TopFinish,5000,
jonathan-lobo-melamed,regional-championship-sao-paulo-3-2024,TopFinish,4000,
marcos-henrique-borges-ferreira,regional-championship-sao-paulo-3-2024,TopFinish,3000,
william-araujo,regional-championship-sao-paulo-3-2024,TopFinish,3000,
gabriel-souza,regional-championship-sao-paulo-3-2024,TopFinish,1000,
xandre-borges,regional-championship-sao-paulo-3-2024,TopFinish,1000,
gabriel-martinez,regional-championship-sao-paulo-3-2024,TopFinish,1000,
pedro-guilherme-lemes,regional-championship-sao-paulo-3-2024,TopFinish,1000,
nam-dang,champions-showcase-2-2024,TopFinish,12000,
stefan-schutz,champions-showcase-2-2024,TopFinish,11000,
artem-danilov,champions-showcase-2-2024,TopFinish,7000,
shaun-henry,champions-showcase-2-2024,TopFinish,5000,
naoto-inoue,champions-showcase-2-2024,TopFinish,5000,
dominick-paolercio,champions-showcase-2-2024,TopFinish,5000,
vinicius-raymundi,champions-showcase-2-2024,TopFinish,3000,
francisco-sanchez,champions-showcase-2-2024,TopFinish,2000,
wouter-noordzij,arena-championship-6-2024,TopFinish,30000,
marcus-wosner,arena-championship-6-2024,TopFinish,20000,
logan-nettles,arena-championship-6-2024,TopFinish,15000,
conor-hughes,arena-championship-6-2024,TopFinish,15000,
simonas-gerve,arena-championship-6-2024,TopFinish,10000,
riku-kumagai,arena-championship-6-2024,TopFinish,10000,
brandon-hersh,arena-championship-6-2024,TopFinish,10000,
koki-kondo,arena-championship-6-2024,TopFinish,10000,
simon-nielsen,pro-tour-modern-horizons-3-2024,TopFinish,50000,
samuel-pardee,pro-tour-modern-horizons-3-2024,TopFinish,30000,
eli-kassis,pro-tour-modern-horizons-3-2024,TopFinish,15000,
daniel-goetschel,pro-tour-modern-horizons-3-2024,TopFinish,15000,
no-ah-ma,pro-tour-modern-horizons-3-2024,TopFinish,10000,
jason-ye,pro-tour-modern-horizons-3-2024,TopFinish,10000,
javier-dominguez,pro-tour-modern-horizons-3-2024,TopFinish,10000,
seth-manfield,pro-tour-modern-horizons-3-2024,TopFinish,10000,
adam-weiss,regional-championship-dallas-2024,TopFinish,30000,
chris-barone,regional-championship-dallas-2024,TopFinish,15000,
newton-cheng,regional-championship-dallas-2024,TopFinish,7500,
kyle-moran,regional-championship-dallas-2024,TopFinish,7500,
london-glenn,regional-championship-dallas-2024,TopFinish,4000,
jason-ye,regional-championship-dallas-2024,TopFinish,4000,
charles-eiler,regional-championship-dallas-2024,TopFinish,4000,
jack-doucet,regional-championship-dallas-2024,TopFinish,4000,
erick-manuel-lopez-basulto,regional-championship-mexico-city-2-2024,TopFinish,4000,
juan-jose-valladares-grimaldo,regional-championship-mexico-city-2-2024,TopFinish,2000,
jose-antonio-guzman-vazquez,regional-championship-mexico-city-2-2024,TopFinish,1000,
jose-luis-lopez,regional-championship-mexico-city-2-2024,TopFinish,1000,
eli-campos,regional-championship-mexico-city-2-2024,TopFinish,550,
pedro-ivan-martinez-escobedo,regional-championship-mexico-city-2-2024,TopFinish,550,
emmanuel-ramirez-sanchez,regional-championship-mexico-city-2-2024,TopFinish,550,
jorge-solis,regional-championship-mexico-city-2-2024,TopFinish,550,
pedro-perrini,regional-championship-santiago-2-2024,TopFinish,4000,
carlos-torrico,regional-championship-santiago-2-2024,TopFinish,2000,
pedro-gonzalez,regional-championship-santiago-2-2024,TopFinish,1200,
alekzander-lordan-quisbert-valencia,regional-championship-santiago-2-2024,TopFinish,1200,
marcelo-lopez-lagos,regional-championship-santiago-2-2024,TopFinish,750,
ariel-cicchitti,regional-championship-santiago-2-2024,TopFinish,750,
agustin-diaz,regional-championship-santiago-2-2024,TopFinish,750,
matias-leveratto,regional-championship-santiago-2-2024,TopFinish,750,
richie-ong,regional-championship-san-juan-2024,TopFinish,4500,
sukhum-kiwanont,regional-championship-san-juan-2024,TopFinish,2300,
weng-heng-soh,regional-championship-san-juan-2024,TopFinish,1100,
albert-budisanjaya,regional-championship-san-juan-2024,TopFinish,1100,
kelvin-chew,regional-championship-san-juan-2024,TopFinish,500,
rizalino-jose-sanchez,regional-championship-san-juan-2024,TopFinish,500,
fredrick-fong,regional-championship-san-juan-2024,TopFinish,500,
alexey-shashov,regional-championship-san-juan-2024,TopFinish,500,
kenta-harane,regional-championship-nagoya-2024,TopFinish,4000,
rei-hirayama,regional-championship-nagoya-2024,TopFinish,2400,
rei-sakano,regional-championship-nagoya-2024,TopFinish,2000,
kazune-kosaka,regional-championship-nagoya-2024,TopFinish,2000,
